Licencia	Fecha y Hora del Viaje	Destino	Obs. Factura	Total Fact.	Cond. Venta	Pago $	Pago u$s	Pago EU	Comisión	IVA	Letra	Talonario	Comprabante	Compensado	Fecha de Compensado	Usuario	Nro. de Caja	nrCupon	Observación
52	26/02/2011 11:29:08	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	Roque Sáenz Pena 890	150.	Contado	150.	.	.	12.	.	B	0007	00158811    	NO		PABLOP		9000874998	
55	04/01/2010	SAN MARTIN 474  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00190897    	NO		LEO		9000662788	
56	20/02/2010 13:23:13	RECOLETA - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0007	00101246    	NO		CSOSA		9000638093	
56	18/11/2010 09:02:46	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	URIARTE 2363	130.	Contado	130.	.	.	10.	.	B	0005	00146093    	NO		CSAVO		9000813429	
56	04/01/2011	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0007	00164145    	NO		MGABRIELA		9000896282	
56	20/11/2010 09:37:03	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	CORDOBA Y ESMERALDA 	130.	Contado	.	.	25.	10.	.	B	0006	00260411    	NO		CSAVO		9000815192	
56	22/11/2010 07:48:03	SAN TELMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	1 DESTINO	130.	Contado	130.	.	.	10.	.	B	0006	00261031    	NO		BFAZZALARI		9000816822	
57	22/08/2010 16:11:23	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		128.	Contado	.	34.	.	10.	.	B	0006	00232667    	NO		LEO		9000751875	
57	24/10/2009 15:52:05	ENTRE  RIOS  1222  (1 DESTINO) 		98.	Contado	98.	.	.	7.	.	B	0006	00146595    	NO		BFAZZALARI		9000559049	
57	02/07/2011	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0006	00282247    	NO		CECILIA		9000863877	
57	23/03/2011 01:25:48	MONSERRAT - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	SALTA 560	150.	Contado	150.	.	.	12.	.	B	0006	00294417    	NO		PABLOP		9000890701	
57	01/09/2011	PUERTO MADERO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	1 DESTINO	150.	Contado	150.	.	.	12.	.	B	0007	00152077    	NO		BFAZZALARI		9000847553	
57	21/12/2009 13:44:10	CALLAO 1869  (1 DESTINO) 		118.	Contado	.	32.	.	8.	.	B	0006	00163926    	NO		VRIVEROS		9000599248	
57	31/01/2011 07:53:00	SAN FRANCISCO SOLANO - QUILMES  (1 DESTINO) 		194.	Contado	194.	.	.	12.	.	B	0001	00174566    	NO		MARIANA		9000860629	
59	06/04/2011	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	.	.	.	12.	.	B	0007	00172757    	NO		CECILIA		9000930400	
59	21/02/2011 00:29:45	ONCE - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0006	00285881    	NO		SOLEDAD		9000871743	
59	17/12/2009 08:19:46	BELGRANO - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		98.	Contado	98.	.	.	7.	.	B	0006	00162786    	NO		CSOSA		9000596348	
59	24/02/2010 09:35:44	1471 AGUERO  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00182363    	NO		FRICCIARDI		9000640247	
59	20/06/2010 04:55:01	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00212918    	NO		SOLEDAD		9000708810	
60	14/09/2010 12:04:20	COSTA SALGUERO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		148.	Contado	148.	.	.	10.	.	B	0005	00137424    	NO		BFAZZALARI		9000766419	
60	29/09/2010 16:57:49	RECOLETA - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	1 DESTINO 	130.	Contado	130.	.	.	10.	.	B	0006	00244775    	NO		BFAZZALARI		9000775716	
60	16/12/2010 13:36:43	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	MONTEVIDEO 229	150.	Contado	150.	.	.	12.	.	B	0005	00150049    	NO		LAUTARO		9000833223	
60	20/12/2010 22:03:00	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0006	00268900    	NO		LEO		9000836009	
60	16/01/2011 11:57:22	BALVANERA - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 	CASTELLI 45	150.	Contado	150.	.	.	12.	.	B	0006	00276423    	NO		MGABRIELA		9000851748	
60	16/03/2011 13:05:28	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	H ORLY	150.	Contado	.	.	.	12.	.	B	0006	00292578    	NO		MGABRIELA		9000886796	
60	18/03/2011 11:30:37	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	H PESTANA	150.	Contado	.	.	.	12.	.	B	0006	00293101    	NO		BFAZZALARI		9000887928	
61	12/06/2009	830 CORRIENTES   (1 DESTINO) 		98.	Contado	98.	.	.	7.	.	B	0006	00159563    	NO		BFAZZALARI		9000589721	
61	22/12/2010 14:43:48	RETONO 22/12/10 205  (1 DESTINO) 		120.	Contado	120.	.	.	12.	.	B	0008	00029444    	NO		SOLEDAD		9000836997	
62	18/05/2011 08:26:25	SAN TELMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0006	00307805    	NO		CSAVO		9000921887	
63	30/05/2010 19:10:25	MATADEROS - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		113.	Contado	113.	.	.	8.	.	B	0006	00206997    	NO		LEO		9000696688	
63	17/11/2010 00:24:27	RECOLETA - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		130.	Contado	130.	.	.	10.	.	B	0006	00259348    	NO		CECILIA		9000812372	
63	05/06/2011	MONSERRAT - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	MONSERRAT 990	150.	Contado	150.	.	.	12.	.	B	0007	00169142    	NO		LEO		9000916035	
63	21/11/2009 09:54:00	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		98.	Contado	98.	.	.	7.	.	B	0002	00088377    	NO		MARIA		9000579975	
65	04/02/2010	1661 AV ALVEAR  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0007	00108962    	NO		MARIANA		9000663278	
65	10/09/2010	AEROPARQUE - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		148.	Contado	148.	.	.	10.	.	B	0003	00093321    	NO		DEMARCO		9000782236	
65	20/12/2010 12:19:16	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0007	00149231    	NO		DANIA		9000835771	
66	02/02/2010	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00176056    	NO		FRICCIARDI		9000626525	
67	22/03/2011 12:47:33	PUERTO MADERO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	SHERATHON 	150.	Contado	.	38.	.	12.	.	B	0007	00162651    	NO		MAXI		9000890362	
67	18/08/2010 17:19:33	RECOLETA - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		128.	Contado	128.	.	.	10.	.	B	0005	00134798    	NO		AGRESTA		9000749472	
68	02/02/2011	FLORENCIO VARELA - FLORENCIO VARELA CON PEAJES  (1 DESTINO) 		214.	Contado	214.	.	.	12.	.	B	0006	00280811    	NO		MARIANA		9000861153	
68	26/12/2010 13:37:14	VILLA URQUIZA - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 	1 DESTINO	150.	Contado	.	38.	.	12.	.	B	0006	00270510    	NO		BFAZZALARI		9000839127	
68	03/05/2011	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	CORRIENTES 1778	150.	Contado	.	.	.	12.	.	B	0006	00289185    	NO		SOLEDAD		9000879391	
68	03/05/2011	LAS CAÑITAS - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0006	00289201    	NO		SOLEDAD		9000879409	
68	27/03/2011 13:03:30	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	1 DESTINO  	150.	Contado	.	38.	.	12.	.	B	0007	00163412    	NO		BFAZZALARI		9000893347	
68	27/03/2011 21:22:51	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	HOTEL ESPLENDOR	150.	Contado	150.	.	.	12.	.	B	0007	00163482    	NO		CELESTE		9000893579	
69	28/09/2009 06:32:17	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		98.	Contado	98.	.	.	7.	.	B	0007	00075558    	NO		CSOSA		9000541392	0
69	25/03/2010 10:05:08	VICENTE LOPEZ - VICENTE LOPEZ CON PEAJE  (1 DESTINO) 		125.	Contado	125.	.	.	8.	.	B	0006	00189336    	NO		SOLEDAD		9000658417	
69	14/04/2010 09:01:19	H EL CONQUISTADOR  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00194110    	NO		CECILIA		9000669798	
69	12/07/2010	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	CORDOBA 620	150.	Contado	150.	.	.	12.	.	B	0005	00149150    	NO		CSOSA		9000827900	
7	08/03/2010	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		128.	Contado	.	34.	.	10.	.	B	0006	00227169    	NO		AGRESTA		9000739996	
7	18/02/2011 12:40:14	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	AV DE MAYO 1298	150.	Contado	150.	.	.	12.	.	B	0007	00157485    	NO		BFAZZALARI		9000870238	
7	19/10/2010 09:04:33	VILLA URQUIZA - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 	1 DESTINO	130.	Contado	130.	.	.	10.	.	B	0006	00250515    	NO		BFAZZALARI		9000789330	
7	27/01/2010 10:58:34	FLORIDA 328  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00174267    	NO		MARIANA		9000622688	
7	20/02/2010 21:48:01	SUIPACHA Y PERON   (1 DESTINO) 		118.	Contado	.	.	22.	8.	.	B	0006	00181484    	NO		BFAZZALARI		9000638315	
71	17/03/2011 19:22:50	RECOLETA - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	ARENALES 855	150.	Contado	150.	.	.	12.	.	B	0007	00161972    	NO		MATIAS		9000887536	
73	14/02/2011 05:33:24	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0006	00284133    	NO		SOLEDAD		9000867743	
73	08/03/2010	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	HOTEL SHERATON	128.	Contado	128.	.	.	10.	.	B	0007	00126248    	NO		DANIA		9000739715	
73	26/03/2010 08:54:00	CONGRESO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0001	00172097    	NO		MARIANA		9000659467	
74	22/06/2011 15:51:19	RECOLETA - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	.	38.	.	12.	.	B	0006	00316252    	NO		SOLEDAD		9000939297	
76	19/12/2010 05:29:50	RETOIRNO 037 19/12/2010  (1 DESTINO) 		120.	Contado	120.	.	.	12.	.	B	0005	00150348    	NO		CSAVO		9000834855	
76	10/11/2010	RETOR  (1 DESTINO) 		98.	Contado	98.	.	.	.	.	B	0008	00022512    	NO		DANIA		9000783985	
77	05/03/2010	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0005	00117202    	NO		CSOSA		9000681152	
77	24/07/2010 22:20:25	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00224374    	NO		CECILIA		9000732670	
78	24/11/2010 20:20:17	RETIRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	HOTEL EMPERADOR	130.	Contado	.	34.	.	10.	.	B	0006	00261905    	NO		LEO		9000818954	
78	15/03/2010 03:34:02	H CRILLON  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00186972    	NO		LEO		9000652347	
78	21/10/2010 11:42:50	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	HOTEL MARBELLA 	130.	Contado	130.	.	.	10.	.	B	0006	00251197    	NO		CAMILA		9000790771	
78	19/09/2010 07:16:52	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		128.	Contado	128.	.	.	10.	.	B	0005	00137891    	NO		CAMILA		9000769343	
78	24/05/2010 18:29:01	RETIRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00205127    	NO		LEO		9000692970	
78	30/04/2011 19:57:03	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0007	00168554    	NO		CECILIA		9000913441	
78	25/07/2010 15:17:04	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00224709    	NO		VRIVEROS		9000733138	
79	29/12/2010 07:39:36	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	Avenida Callao 181	150.	Contado	150.	.	.	12.	.	B	0007	00150457    	NO		MGABRIELA		9000841018	
79	06/02/2011	PLAZA ITALIA  - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	1 DESTINO	150.	Contado	.	.	26.	12.	.	B	0006	00311046    	NO		CAMILA		9000929207	
8	24/12/2009 16:02:54	NUÑEZ - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00164845    	NO		VRIVEROS		9000601274	
8	24/10/2010 08:04:05	RETONRO 179  (1 DESTINO) 		98.	Contado	98.	.	.	.	.	B	0008	00023513    	NO		CSAVO		9000792746	
8	24/12/2010 11:12:31	FLORES - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		140.	Contado	140.	.	.	12.	.	B	0007	00149648    	NO		MGABRIELA		9000837999	
8	21/04/2010 22:34:12	B MITRE 3410  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0007	00112233    	NO		BFAZZALARI		9000674644	
8	16/05/2011 08:29:29	AEROPARQUE - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		170.	Contado	.	43.	.	12.	.	B	0007	00170232    	NO		CSAVO		9000920919	
80	04/11/2011	PUERTO MADERO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0005	00159913    	NO		VRIVEROS		9000902505	
80	26/12/2010 14:42:00	FLORESTA - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		140.	Contado	140.	.	.	12.	.	B	0002	00093697    	NO		MARIANA		9000839994	
80	13/12/2010 11:24:43	BELGRANO - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0007	00148215    	NO		DANIA		9000831440	
81	27/12/2010 10:38:35	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	BOLIVAR	150.	Contado	.	38.	.	12.	.	B	0005	00150896    	NO		DANIA		9000839779	
82	12/12/2009	CABALLITO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		98.	Contado	98.	.	.	7.	.	B	0006	00161124    	NO		CECILIA		9000593243	
82	02/11/2010	1204 AYACUCHO  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00178533    	NO		VRIVEROS		9000631898	
82	26/10/2010 15:23:34	BELGRANO - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		130.	Contado	130.	.	.	10.	.	B	0007	00138913    	NO		LAUTARO		9000794448	
82	28/03/2011 11:20:45	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	OBELISCO	150.	Contado	150.	.	.	12.	.	B	0006	00296030    	NO		CSAVO		9000894082	
82	28/06/2011 00:49:48	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	PARAGUAY 1207	150.	Contado	.	38.	.	12.	.	B	0006	00317611    	NO		CSAVO		9000942520	
85	20/08/2010 21:25:45	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	TALCAHUANO 958	128.	Contado	.	34.	.	10.	.	B	0005	00135098    	NO		CSAVO		9000750789	
86	24/02/2011 03:25:50	RETORNO 761  (1 DESTINO) 		120.	Cuenta Corriente	.	.	.	5.	.	B	0006	00286719    	NO		MARIANA		9000873615	
86	13/04/2011 12:37:36	PUERTO MADERO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	.	38.	.	12.	.	B	0007	00166007    	NO		DANIA		9000903610	
86	11/11/2010	05-10-10 RETORNO 211  (1 DESTINO) 		98.	Cuenta Corriente	.	.	.	3.	.	A	0008	00000122    	NO		NOEMI		9000807070	
86	17/06/2011 07:31:32	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	AV DE MAYO 1200 - HTEL MUNDIAL 	150.	Contado	150.	.	.	12.	.	B	0007	00174106    	NO		CSOSA		9000936369	
87	25/12/2010 11:03:27	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	SUIPACHA 1359	150.	Contado	150.	.	.	12.	.	B	0006	00270010    	NO		BFAZZALARI		9000838465	
87	23/02/2010 17:59:37	PUERTO MADERO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00182269    	NO		BFAZZALARI		9000640000	
87	06/07/2010	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00209606    	NO		SOLEDAD		9000701749	
88	26/12/2009 01:04:07	SAN TELMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00165207    	NO		LEO		9000602046	
88	10/09/2010	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	SHERATON SAN MARTIN	130.	Contado	130.	.	.	10.	.	B	0006	00247558    	NO		LEO		9000782437	
88	02/11/2011	CABALLITO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	PUEYRREDOMN 1094	150.	Contado	150.	.	.	12.	.	B	0007	00156367    	NO		MGABRIELA		9000866018	
89	26/12/2010 14:31:00	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0002	00093691    	NO		MARIANA		9000839981	
9	03/05/2011	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	DUMONT 2355	150.	Contado	150.	.	.	12.	.	B	0006	00289400    	NO		MATIAS		9000879939	
9	29/11/2010 08:08:56	ALMAGRO - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 	MEDRANO 252	130.	Contado	.	34.	.	10.	.	B	0006	00263158    	NO		CSAVO		9000822489	
90	03/06/2011	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0005	00157008    	NO		DANIA		9000880709	
90	28/02/2011 13:37:45	PLAZA ITALIA  - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0001	00174875    	NO		CAMILAP		9000876215	
92	30/11/2010 16:54:01	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		130.	Contado	130.	.	.	10.	.	B	0005	00148327    	NO		LAUTARO		9000823725	
92	16/06/2011 06:29:39	RETIRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	1 DESTINO	150.	Contado	150.	.	.	12.	.	B	0005	00163953    	NO		BFAZZALARI		9000935795	
93	20/11/2010 00:50:14	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		130.	Contado	130.	.	.	10.	.	B	0006	00260316    	NO		CAMILA		9000814950	
93	20/11/2010 05:15:29	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		130.	Contado	130.	.	.	10.	.	B	0006	00260358    	NO		CAMILA		9000815022	
93	21/11/2010 23:18:37	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	HOTEL MORENO	130.	Contado	130.	.	.	10.	.	B	0006	00260932    	NO		VRIVEROS		9000816607	
93	22/11/2010 04:57:58	CABALLITO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		130.	Contado	130.	.	.	10.	.	B	0006	00261005    	NO		VRIVEROS		9000816704	
93	31/12/2009 08:46:43	BELGRANO - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00166772    	NO		VRIVEROS		9000605945	
93	11/04/2010	FLORES - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		123.	Contado	123.	.	.	10.	.	B	0006	00255169    	NO		LAUTARO		9000800924	
93	19/11/2010 20:29:54	VILLA URQUIZA - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		130.	Contado	130.	.	.	10.	.	B	0007	00144082    	NO		DANIA		9000814820	
93	20/11/2010 02:18:37	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		130.	Contado	130.	.	.	10.	.	B	0005	00146466    	NO		CECILIA		9000814991	
93	21/11/2010 18:42:58	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		130.	Contado	130.	.	.	10.	.	B	0006	00260883    	NO		CECILIA		9000816475	
93	02/09/2011	CANNING - EZEIZA CON PEAJES V/C  (1 DESTINO) 		81.	Contado	81.	.	.	.	.	B	0005	00154675    	NO		VRIVEROS		9000865082	
93	19/11/2010 22:32:09	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	TUCUMAN 331	130.	Contado	130.	.	.	10.	.	B	0006	00260273    	NO		CAMILA		9000814881	
93	21/11/2010 21:22:02	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		130.	Contado	130.	.	.	10.	.	B	0005	00146788    	NO		DANIA		9000816544	
93	22/11/2010 00:35:49	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	INTERCONTINENTQAL	130.	Contado	130.	.	.	10.	.	B	0005	00146817    	NO		CSAVO		9000816646	
93	19/11/2010 18:54:14	PUERTO MADERO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	HOTEL HILTON	130.	Contado	130.	.	.	10.	.	B	0006	00260230    	NO		LEO		9000814768	
93	23/11/2010 22:48:30	RECOLETA - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		130.	Contado	130.	.	.	10.	.	B	0006	00261654    	NO		CAMILA		9000818267	
94	19/02/2011 00:17:54	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	.	38.	.	12.	.	B	0006	00285308    	NO		SOLEDAD		9000870505	
95	05/03/2011	BELGRANO - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0007	00168915    	NO		MGABRIELA		9000914873	
96	31/12/2010 22:08:24	RECOLETA - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0006	00272183    	NO		SOLEDAD		9000842748	
96	17/10/2010 06:44:57	REDTORNO 862  (1 DESTINO) 		98.	Contado	98.	.	.	.	.	B	0008	00022940    	NO		DEMARCO		9000787851	
98	01/06/2010	HOTEL MIL HOUSE  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0007	00093995    	NO		LEO		9000610158	
99	25/04/2010 21:04:28	LAS CAÑITAS - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00197442    	NO		VRIVEROS		9000676992	
99	09/08/2009	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		98.	Contado	98.	.	.	7.	.	B	0007	00073247    	NO		CSOSA		9000530708	0
99	25/11/2009 05:05:20	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		98.	Contado	98.	.	.	7.	.	B	0007	00085999    	NO		CECILIA		9000581199	
99	02/02/2011	AEROPARQUE - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		170.	Contado	170.	.	.	12.	.	B	0007	00155191    	NO		MGABRIELA		9000861284	
